"table_schema","table_name","classification","columns","foreign_keys","row_count","strategy"
miclub,activities,TENANT_DATA,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""sector_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""manager_person_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""code"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""name"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""modality"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""color"", ""type"": ""text"", ""default"": ""'#7DD3FC'::text"", ""nullable"": ""NO""}, {""name"": ""monthly_fee"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""NO""}, {""name"": ""club_commission_percent"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""NO""}, {""name"": ""instructor_commission_percent"", ""type"": ""numeric"", ""default"": ""0"", ""nullable"": ""NO""}, {""name"": ""max_capacity"", ""type"": ""integer"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""status"", ""type"": ""USER-DEFINED"", ""default"": ""'activa'::entity_status"", ""nullable"": ""NO""}, {""name"": ""notes"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""updated_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""instructor_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""club_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""description"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""generates_enrollments"", ""type"": ""boolean"", ""default"": ""true"", ""nullable"": ""NO""}, {""name"": ""settlement_mode"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""settlement_fixed_amount"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""settlement_category_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""archived_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""created_by"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""updated_by"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""icon_key"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}]","[{""constraint"": ""activities_club_id_fkey"", ""definition"": ""FOREIGN KEY (club_id) REFERENCES clubs(id)"", ""references"": ""clubs""}, {""constraint"": ""activities_created_by_fkey"", ""definition"": ""FOREIGN KEY (created_by) REFERENCES people(id) NOT VALID"", ""references"": ""people""}, {""constraint"": ""activities_icon_key_fkey"", ""definition"": ""FOREIGN KEY (icon_key) REFERENCES activity_icon_catalog(icon_key)"", ""references"": ""activity_icon_catalog""}, {""constraint"": ""activities_instructor_tenant_fkey"", ""definition"": ""FOREIGN KEY (instructor_id, club_id) REFERENCES instructors(id, club_id) ON DELETE RESTRICT"", ""references"": ""instructors""}, {""constraint"": ""activities_manager_person_tenant_fkey"", ""definition"": ""FOREIGN KEY (manager_person_id, club_id) REFERENCES people(id, club_id) ON DELETE RESTRICT"", ""references"": ""people""}, {""constraint"": ""activities_sector_tenant_fkey"", ""definition"": ""FOREIGN KEY (sector_id, club_id) REFERENCES sectors(id, club_id) ON DELETE RESTRICT"", ""references"": ""sectors""}, {""constraint"": ""activities_settlement_category_fkey"", ""definition"": ""FOREIGN KEY (settlement_category_id) REFERENCES movement_categories(id) NOT VALID"", ""references"": ""movement_categories""}, {""constraint"": ""activities_updated_by_fkey"", ""definition"": ""FOREIGN KEY (updated_by) REFERENCES people(id) NOT VALID"", ""references"": ""people""}]",37,"DELETE por club_id, hijos FK primero"
miclub,activity_fee_cleanup_candidates,TENANT_DATA,"[{""name"": ""activity_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""activity_monthly_fee"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""max_normalized_enrollment_fee"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""active_enrollments_count"", ""type"": ""integer"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""detected_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""club_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}]","[{""constraint"": ""activity_fee_cleanup_candidates_activity_id_fkey"", ""definition"": ""FOREIGN KEY (activity_id) REFERENCES activities(id) ON DELETE CASCADE"", ""references"": ""activities""}, {""constraint"": ""activity_fee_cleanup_candidates_club_id_fkey"", ""definition"": ""FOREIGN KEY (club_id) REFERENCES clubs(id)"", ""references"": ""clubs""}]",0,"DELETE por club_id, hijos FK primero"
miclub,activity_fee_history,TENANT_DATA,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""activity_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""previous_monthly_fee"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""new_monthly_fee"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""source"", ""type"": ""text"", ""default"": ""'google_sheets_import'::text"", ""nullable"": ""NO""}, {""name"": ""raw_fee_amount_text"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""raw_fee_amount"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""normalization_reason"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""import_batch_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""changed_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""club_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}]","[{""constraint"": ""activity_fee_history_activity_id_fkey"", ""definition"": ""FOREIGN KEY (activity_id) REFERENCES activities(id) ON DELETE CASCADE"", ""references"": ""activities""}, {""constraint"": ""activity_fee_history_club_id_fkey"", ""definition"": ""FOREIGN KEY (club_id) REFERENCES clubs(id)"", ""references"": ""clubs""}, {""constraint"": ""activity_fee_history_import_batch_id_fkey"", ""definition"": ""FOREIGN KEY (import_batch_id) REFERENCES import_batches(id)"", ""references"": ""import_batches""}]",0,"DELETE por club_id, hijos FK primero"
miclub,activity_icon_catalog,GLOBAL_STRUCTURAL,"[{""name"": ""icon_key"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""display_name"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""sort_order"", ""type"": ""integer"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]","[]",20,CONSERVAR y comparar huella
miclub,activity_schedules,UNKNOWN,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""activity_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""weekday"", ""type"": ""smallint"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""start_time"", ""type"": ""time without time zone"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""end_time"", ""type"": ""time without time zone"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""room_label"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]","[{""constraint"": ""activity_schedules_activity_id_fkey"", ""definition"": ""FOREIGN KEY (activity_id) REFERENCES activities(id) ON DELETE CASCADE"", ""references"": ""activities""}]",0,REVISIÓN OBLIGATORIA; reset bloqueado si contiene filas
miclub,activity_settlement_allocations,TENANT_DATA,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""club_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""settlement_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""movement_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""allocation_type"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""amount"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""status"", ""type"": ""text"", ""default"": ""'PENDIENTE'::text"", ""nullable"": ""NO""}, {""name"": ""occurred_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""completed_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""voided_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]","[{""constraint"": ""activity_settlement_allocations_club_id_fkey"", ""definition"": ""FOREIGN KEY (club_id) REFERENCES clubs(id)"", ""references"": ""clubs""}, {""constraint"": ""activity_settlement_allocations_movement_tenant_fkey"", ""definition"": ""FOREIGN KEY (movement_id, club_id) REFERENCES movements(id, club_id) ON DELETE RESTRICT"", ""references"": ""movements""}, {""constraint"": ""activity_settlement_allocations_tenant_fkey"", ""definition"": ""FOREIGN KEY (settlement_id, club_id) REFERENCES activity_settlements(id, club_id)"", ""references"": ""activity_settlements""}]",0,"DELETE por club_id, hijos FK primero"
miclub,activity_settlements,TENANT_DATA,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""club_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""activity_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""activity_term_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""period_from"", ""type"": ""date"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""period_to"", ""type"": ""date"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""status"", ""type"": ""text"", ""default"": ""'PENDIENTE'::text"", ""nullable"": ""NO""}, {""name"": ""calculated_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""completed_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""voided_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]","[{""constraint"": ""activity_settlements_activity_tenant_fkey"", ""definition"": ""FOREIGN KEY (activity_id, club_id) REFERENCES activities(id, club_id)"", ""references"": ""activities""}, {""constraint"": ""activity_settlements_club_id_fkey"", ""definition"": ""FOREIGN KEY (club_id) REFERENCES clubs(id)"", ""references"": ""clubs""}, {""constraint"": ""activity_settlements_term_tenant_fkey"", ""definition"": ""FOREIGN KEY (activity_term_id, activity_id, club_id) REFERENCES activity_terms(id, activity_id, club_id)"", ""references"": ""activity_terms""}]",0,"DELETE por club_id, hijos FK primero"
miclub,activity_terms,TENANT_DATA,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""club_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""activity_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""mode"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""monthly_fixed_fee"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""club_share_percentage"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""effective_from"", ""type"": ""date"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""effective_to"", ""type"": ""date"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""updated_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""created_by"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""updated_by"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}]","[{""constraint"": ""activity_terms_activity_tenant_fkey"", ""definition"": ""FOREIGN KEY (activity_id, club_id) REFERENCES activities(id, club_id)"", ""references"": ""activities""}, {""constraint"": ""activity_terms_club_id_fkey"", ""definition"": ""FOREIGN KEY (club_id) REFERENCES clubs(id)"", ""references"": ""clubs""}, {""constraint"": ""activity_terms_created_by_fkey"", ""definition"": ""FOREIGN KEY (created_by) REFERENCES users(id)"", ""references"": ""users""}, {""constraint"": ""activity_terms_updated_by_fkey"", ""definition"": ""FOREIGN KEY (updated_by) REFERENCES users(id)"", ""references"": ""users""}]",0,"DELETE por club_id, hijos FK primero"
miclub,activity_terms_migration_diagnostic,TENANT_DATA,"[{""name"": ""activity_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""club_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""legacy_settlement_mode"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""legacy_fixed_amount"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""legacy_club_percentage"", ""type"": ""numeric"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""proposed_mode"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""diagnosis"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""diagnosed_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]","[{""constraint"": ""activity_terms_migration_diagnostic_activity_id_fkey"", ""definition"": ""FOREIGN KEY (activity_id) REFERENCES activities(id)"", ""references"": ""activities""}]",37,"DELETE por club_id, hijos FK primero"
miclub,app_sessions,MIXED,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""user_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""membership_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""expires_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""revoked_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""last_seen_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]","[{""constraint"": ""app_sessions_membership_id_fkey"", ""definition"": ""FOREIGN KEY (membership_id) REFERENCES user_club_memberships(id) ON DELETE CASCADE"", ""references"": ""user_club_memberships""}, {""constraint"": ""app_sessions_user_id_fkey"", ""definition"": ""FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE"", ""references"": ""users""}]",0,DELETE únicamente UUID diagnóstico/club verificado
miclub,approval_requests,TENANT_DATA,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""club_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""title"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""description"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""status"", ""type"": ""text"", ""default"": ""'pending'::text"", ""nullable"": ""NO""}, {""name"": ""requested_by_user_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""requested_by_membership_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""assigned_to_user_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""assigned_to_membership_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""decided_by_user_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""decided_by_membership_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""target_entity_type"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""target_entity_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""decision_reason"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""decided_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""expires_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""metadata"", ""type"": ""jsonb"", ""default"": ""'{}'::jsonb"", ""nullable"": ""NO""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""updated_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""archived_at"", ""type"": ""timestamp with time zone"", ""default"": null, ""nullable"": ""YES""}]","[{""constraint"": ""approval_requests_assigned_to_membership_id_fkey"", ""definition"": ""FOREIGN KEY (assigned_to_membership_id) REFERENCES user_club_memberships(id) ON DELETE SET NULL"", ""references"": ""user_club_memberships""}, {""constraint"": ""approval_requests_assigned_to_user_id_fkey"", ""definition"": ""FOREIGN KEY (assigned_to_user_id) REFERENCES users(id) ON DELETE SET NULL"", ""references"": ""users""}, {""constraint"": ""approval_requests_club_id_fkey"", ""definition"": ""FOREIGN KEY (club_id) REFERENCES clubs(id) ON DELETE CASCADE"", ""references"": ""clubs""}, {""constraint"": ""approval_requests_decided_by_membership_id_fkey"", ""definition"": ""FOREIGN KEY (decided_by_membership_id) REFERENCES user_club_memberships(id) ON DELETE SET NULL"", ""references"": ""user_club_memberships""}, {""constraint"": ""approval_requests_decided_by_user_id_fkey"", ""definition"": ""FOREIGN KEY (decided_by_user_id) REFERENCES users(id) ON DELETE SET NULL"", ""references"": ""users""}, {""constraint"": ""approval_requests_requested_by_membership_id_fkey"", ""definition"": ""FOREIGN KEY (requested_by_membership_id) REFERENCES user_club_memberships(id) ON DELETE SET NULL"", ""references"": ""user_club_memberships""}, {""constraint"": ""approval_requests_requested_by_user_id_fkey"", ""definition"": ""FOREIGN KEY (requested_by_user_id) REFERENCES users(id) ON DELETE SET NULL"", ""references"": ""users""}]",0,"DELETE por club_id, hijos FK primero"
miclub,audit_log,TENANT_DATA,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""user_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""action"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""entity_type"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""entity_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""old_data"", ""type"": ""jsonb"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""new_data"", ""type"": ""jsonb"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""club_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""membership_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""ip"", ""type"": ""inet"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""user_agent"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""request_id"", ""type"": ""text"", ""default"": null, ""nullable"": ""YES""}, {""name"": ""result"", ""type"": ""text"", ""default"": ""'success'::text"", ""nullable"": ""NO""}, {""name"": ""metadata"", ""type"": ""jsonb"", ""default"": ""'{}'::jsonb"", ""nullable"": ""NO""}]","[{""constraint"": ""audit_log_club_id_fkey"", ""definition"": ""FOREIGN KEY (club_id) REFERENCES clubs(id) ON DELETE SET NULL"", ""references"": ""clubs""}, {""constraint"": ""audit_log_membership_id_fkey"", ""definition"": ""FOREIGN KEY (membership_id) REFERENCES user_club_memberships(id) ON DELETE SET NULL"", ""references"": ""user_club_memberships""}, {""constraint"": ""audit_log_user_id_fkey"", ""definition"": ""FOREIGN KEY (user_id) REFERENCES users(id)"", ""references"": ""users""}]",73,"DELETE por club_id, hijos FK primero"
miclub,category_catalog,GLOBAL_STRUCTURAL,"[{""name"": ""id"", ""type"": ""uuid"", ""default"": ""gen_random_uuid()"", ""nullable"": ""NO""}, {""name"": ""code"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""display_name"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""classification"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""is_active"", ""type"": ""boolean"", ""default"": ""true"", ""nullable"": ""NO""}, {""name"": ""display_order"", ""type"": ""integer"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}, {""name"": ""updated_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]","[]",33,CONSERVAR y comparar huella
miclub,category_import_aliases,GLOBAL_STRUCTURAL,"[{""name"": ""normalized_alias"", ""type"": ""text"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""catalog_id"", ""type"": ""uuid"", ""default"": null, ""nullable"": ""NO""}, {""name"": ""created_at"", ""type"": ""timestamp with time zone"", ""default"": ""now()"", ""nullable"": ""NO""}]","[{""constraint"": ""category_import_aliases_catalog_id_fkey"", ""definition"": ""FOREIGN KEY (catalog_id) REFERENCES category_catalog(id) ON DELETE RESTRICT"", ""references"": ""category_catalog""}]",15,CONSERVAR y comparar huella
